"logFC","FC","P.Value","adj.P.Val","entrez_ID","ensembl_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
6.94602288250603,123.299478065253,4.02979506498364e-05,0.000119715484289128,"111577915",NA,"LOC111577915","interferon alpha-inducible protein 27-like protein 2A.2",NA,0.763429967971536,2.12059111929087,11.7714546457212,4.29816654502054
6.72939331255558,106.108271438818,3.58765842842698e-05,0.000107739803724847,"111588695","ENSAOCG00000009483","rsad2","radical S-adenosyl methionine domain containing 2","radical S-adenosyl methionine domain containing 2",0.788639839413136,2.08741939571469,11.3713672293965,4.32868940170265
5.90680789189299,59.9965605477512,0.00299774838272178,0.00610663999499307,"111582224",NA,"si:zfos-911d5.4","uncharacterized si:zfos-911d5.4",NA,-0.457254154516277,0.110834106420343,11.7027816773656,3.04305388230865
5.68976991056206,51.6168397784072,2.46114257723693e-10,2.35069130059996e-09,"111576250","ENSAOCG00000021079","znfx1","zinc finger, NFX1-type containing 1","zinc finger NFX1-type containing 1",2.82922839618736,3.27876290514975,8.10077691597436,7.04659709429235
5.59116810693293,48.2069118116181,3.07646169643079e-09,2.23854162222048e-08,"129350976",NA,"LOC129350976","receptor-transporting protein 3-like.2",NA,1.79521186599453,3.0275267239612,8.15480948990466,6.51221132365327
5.27560058343319,38.7359329856708,8.58397998580305e-13,1.65821095083894e-11,"111574762","ENSAOCG00000006946","LOC111574762_MX1","interferon-induced GTP-binding protein Mx","interferon-induced GTP-binding protein Mx",2.98823339043483,3.35592584209775,7.19527532476863,8.20592352889581
5.2396217701909,37.7818586379166,5.25472808052713e-06,1.87533278207777e-05,"111584047","ENSAOCG00000021208","usp18_ENSAOCG00000021208","ubiquitin specific peptidase 18","ubl carboxyl-terminal hydrolase 18-like",1.03528045909621,1.99128001989662,8.48796352048518,4.81638762959568
5.23699488566292,37.7131273571407,2.10759314887374e-20,7.39117990423715e-18,"111562396","ENSAOCG00000014036","si:dkeyp-118h9.7_ENSAOCG00000014036","sacsin","sacsin-like",4.78505157767502,3.90140877329795,6.5725809980279,11.7082898062173
5.20175692901152,36.8031393257928,7.07224798502747e-06,2.45918755410917e-05,"111574765","ENSAOCG00000000359","LOC111574765_mxb","interferon-induced GTP-binding protein Mx-like","interferon-induced GTP-binding protein Mx-like",1.73254692753145,1.92689285624159,8.47662100178145,4.74285649078659
4.97274539351146,31.4011478869395,3.61267183325696e-11,4.30363528455135e-10,"111588694","ENSAOCG00000000586","cmpk2","cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial","cytidine/uridine monophosphate kinase 2",1.81640464031701,2.97819101122276,6.96729977580016,7.44446598950686
4.89935127628178,29.8436331931783,0.00197049866793211,0.00417194194585508,"129349373",NA,"LOC129349373","probable serpin E3.21",NA,0.47239303330825,0.297807255973998,9.50089529658956,3.17920260949552
